trade_no,entry_time,exit_time,direction,entry_price,exit_price,quantity,pnl,exit_reason,indicators_agreed,consensus_signal,ADX_DI_signal,ADX_DI_buy_votes,ADX_DI_sell_votes,ADX_DI_total,Bollinger_Bands_signal,BB_buy_votes,BB_sell_votes,BB_total,Breadth_signal,Breadth_buy_votes,Breadth_sell_votes,Breadth_total,EMA_Cross_signal,EMA_buy_votes,EMA_sell_votes,EMA_total,RSI_signal,RSI_buy_votes,RSI_sell_votes,RSI_total,Supertrend_signal,ST_buy_votes,ST_sell_votes,ST_total,equity_after
21,2023-08-11 00:00:00+05:30,2023-09-08 00:00:00+05:30,SHORT,65322.65,66427.93,9,-9947.48,stop_loss,3,HOLD,HOLD,6,6,12,BUY,6,4,12,SELL,3,4,8,BUY,4,1,5,SELL,2,5,8,SELL,1,15,17,1000544.60
22,2023-09-22 00:00:00+05:30,2023-10-25 00:00:00+05:30,SHORT,66009.15,64401.26,9,14471.03,take_profit,5,SELL,SELL,4,8,12,HOLD,5,5,12,SELL,0,7,8,SELL,1,4,5,SELL,3,4,8,SELL,1,15,17,1015015.62
23,2023-10-25 00:00:00+05:30,2023-11-12 00:00:00+05:30,SHORT,64049.06,65118.20,9,-9622.26,stop_loss,5,SELL,SELL,3,9,12,SELL,4,6,12,SELL,1,6,8,SELL,2,3,5,BUY,6,2,8,SELL,1,15,17,1005393.36
24,2023-11-12 00:00:00+05:30,2023-11-28 00:00:00+05:30,SHORT,65259.45,66171.67,11,-10034.38,stop_loss,2,HOLD,HOLD,6,6,12,HOLD,5,5,12,SELL,3,4,8,BUY,4,1,5,BUY,7,1,8,SELL,7,9,17,995358.99
25,2023-11-30 00:00:00+05:30,2023-12-04 00:00:00+05:30,LONG,66988.44,68312.88,11,14568.84,take_profit,4,BUY,HOLD,6,6,12,BUY,6,4,12,BUY,4,3,8,BUY,4,1,5,BUY,7,1,8,SELL,7,9,17,1009927.83
26,2023-12-05 00:00:00+05:30,2023-12-15 00:00:00+05:30,LONG,69296.14,70915.66,9,14575.68,take_profit,5,BUY,BUY,7,5,12,BUY,6,4,12,BUY,4,3,8,BUY,4,1,5,BUY,6,2,8,HOLD,8,8,17,1024503.51
27,2023-12-15 00:00:00+05:30,2024-01-25 00:00:00+05:30,LONG,71483.75,70700.67,7,-5481.56,signal_reversal,1,SELL,SELL,4,8,12,HOLD,5,5,12,BUY,4,3,8,SELL,2,3,5,SELL,3,5,8,SELL,2,14,17,1019021.95
28,2024-01-25 00:00:00+05:30,2024-02-19 00:00:00+05:30,SHORT,70700.67,72691.03,5,-9951.78,stop_loss,1,HOLD,HOLD,6,6,12,BUY,6,4,12,BUY,4,3,8,BUY,4,1,5,HOLD,4,4,8,SELL,2,14,17,1009070.17
29,2024-03-01 00:00:00+05:30,2024-03-13 00:00:00+05:30,LONG,73745.35,72761.89,6,-5900.76,signal_reversal,2,SELL,SELL,5,7,12,BUY,7,3,12,SELL,3,4,8,BUY,4,1,5,SELL,3,5,8,SELL,7,9,17,1003169.41
30,2024-03-13 00:00:00+05:30,2024-04-04 00:00:00+05:30,SHORT,72761.89,74172.16,7,-9871.89,stop_loss,2,HOLD,BUY,7,5,12,BUY,7,3,12,SELL,3,4,8,BUY,4,1,5,HOLD,4,4,8,SELL,2,14,17,993297.52
31,2024-04-15 00:00:00+05:30,2024-04-29 00:00:00+05:30,SHORT,73399.78,74668.39,7,-8880.24,stop_loss,3,HOLD,SELL,5,7,12,BUY,6,4,12,SELL,2,5,8,BUY,4,1,5,HOLD,4,4,8,SELL,2,14,17,984417.27
32,2024-05-07 00:00:00+05:30,2024-05-23 00:00:00+05:30,SHORT,73511.85,75088.83,6,-9461.88,stop_loss,3,HOLD,SELL,4,8,12,BUY,6,4,12,SELL,3,4,8,BUY,4,1,5,HOLD,4,4,8,SELL,2,14,17,974955.39
33,2024-05-27 00:00:00+05:30,2024-05-30 00:00:00+05:30,LONG,75390.50,74070.52,7,-9239.83,stop_loss,2,HOLD,HOLD,6,6,12,BUY,7,3,12,SELL,3,4,8,BUY,4,1,5,HOLD,4,4,8,HOLD,8,8,17,965715.56
34,2024-05-30 00:00:00+05:30,2024-06-03 00:00:00+05:30,SHORT,73885.60,75155.91,7,-8892.17,stop_loss,4,SELL,SELL,5,7,12,BUY,7,3,12,SELL,2,5,8,BUY,4,1,5,SELL,3,5,8,SELL,7,9,17,956823.39
35,2024-06-04 00:00:00+05:30,2024-06-06 00:00:00+05:30,SHORT,72079.05,75037.78,3,-8876.18,stop_loss,2,HOLD,SELL,5,7,12,BUY,7,3,12,BUY,4,3,8,BUY,3,2,5,HOLD,4,4,8,SELL,1,15,17,947947.21
36,2024-06-07 00:00:00+05:30,2024-08-07 00:00:00+05:30,LONG,76693.36,79468.01,2,5549.30,signal_reversal,0,SELL,SELL,5,7,12,HOLD,5,5,12,SELL,3,4,8,SELL,2,3,5,SELL,3,5,8,SELL,1,15,17,953496.51
37,2024-08-07 00:00:00+05:30,2024-08-26 00:00:00+05:30,SHORT,79468.01,81538.28,4,-8281.08,stop_loss,1,HOLD,HOLD,6,6,12,HOLD,5,5,12,BUY,5,2,8,BUY,4,1,5,HOLD,4,4,8,SELL,1,15,17,945215.43
38,2024-09-12 00:00:00+05:30,2024-09-26 00:00:00+05:30,LONG,82962.71,85192.40,6,13378.12,take_profit,5,BUY,BUY,7,5,12,BUY,6,4,12,BUY,5,2,8,BUY,4,1,5,HOLD,4,4,8,BUY,10,6,17,958593.56
39,2024-09-26 00:00:00+05:30,2024-09-30 00:00:00+05:30,LONG,85836.12,84586.28,7,-8748.88,stop_loss,5,BUY,BUY,7,5,12,BUY,6,4,12,BUY,4,3,8,BUY,4,1,5,HOLD,4,4,8,BUY,10,6,17,949844.68
40,2024-09-30 00:00:00+05:30,2024-10-03 00:00:00+05:30,LONG,84299.78,82844.51,6,-8731.62,stop_loss,3,HOLD,BUY,7,5,12,BUY,6,4,12,SELL,3,4,8,BUY,4,1,5,HOLD,4,4,8,HOLD,8,8,17,941113.06
41,2024-10-04 00:00:00+05:30,2024-11-12 00:00:00+05:30,SHORT,81688.45,78761.39,4,11708.23,take_profit,3,HOLD,SELL,3,9,12,HOLD,5,5,12,HOLD,4,4,8,SELL,1,4,5,BUY,7,1,8,SELL,0,16,17,952821.29
42,2024-11-26 00:00:00+05:30,2024-12-20 00:00:00+05:30,LONG,80004.06,78041.59,4,-7849.88,signal_reversal,1,SELL,SELL,3,9,12,SELL,4,6,12,HOLD,4,4,8,SELL,1,4,5,BUY,7,1,8,SELL,1,15,17,944971.41
43,2024-12-20 00:00:00+05:30,2025-01-02 00:00:00+05:30,SHORT,78041.59,79898.71,5,-9285.60,stop_loss,4,SELL,SELL,2,10,12,SELL,4,6,12,HOLD,4,4,8,SELL,1,4,5,BUY,7,1,8,SELL,1,15,17,935685.81
